Date,Open,High,Low,Close,AdjClose,Volume
24/11/2025,27.4,27.55,27.15,0.0,27.2,6100400
21/11/2025,27.15,27.45,26.9,27.4,27.4,22607900
20/11/2025,27.7,27.8,27.15,27.25,27.25,23049300
19/11/2025,27.5,28.35,27.45,27.6,27.6,56320700
18/11/2025,27.25,27.6,27.15,27.5,27.5,35028300
17/11/2025,27.05,27.35,27.05,27.3,27.3,32158300
14/11/2025,26.5,26.95,26.5,26.9,26.9,22112200
13/11/2025,27.0,27.05,26.55,26.55,26.55,18927500
12/11/2025,26.65,27.1,26.65,27.0,27.0,30662900
11/11/2025,26.6,26.9,26.45,26.6,26.6,31332100
10/11/2025,26.2,26.75,26.1,26.45,26.45,48017900
07/11/2025,26.15,26.55,26.0,26.05,26.05,55100200
06/11/2025,26.35,26.5,26.1,26.1,26.1,21207600
05/11/2025,26.45,26.75,26.25,26.3,26.3,20835300
04/11/2025,26.15,26.85,25.95,26.75,26.75,37767100
03/11/2025,26.75,26.9,26.05,26.05,26.05,28356600
31/10/2025,26.9,27.1,26.7,26.7,26.7,19779100
30/10/2025,27.4,27.4,26.9,26.9,26.9,23693500
29/10/2025,26.9,27.55,26.9,27.25,27.25,39448900
28/10/2025,26.35,26.8,26.15,26.8,26.8,28512100
27/10/2025,26.75,26.85,26.25,26.25,26.25,27390800
24/10/2025,26.5,26.7,26.1,26.4,26.4,30587700
23/10/2025,26.75,27.0,26.5,26.5,26.5,23443400
22/10/2025,26.9,26.9,26.15,26.7,26.7,37268800
21/10/2025,26.3,27.0,26.0,26.8,26.8,74275800
20/10/2025,27.9,28.25,26.05,26.05,26.05,102963100
17/10/2025,28.3,28.65,28.0,28.0,28.0,46508200
16/10/2025,28.25,28.8,28.0,28.25,28.25,44715300
15/10/2025,28.4,28.7,28.2,28.25,28.25,34623200
14/10/2025,29.05,29.25,28.3,28.35,28.35,84307900
13/10/2025,29.05,29.25,28.85,29.0,29.0,80237700
10/10/2025,29.0,29.75,28.9,29.6,29.6,62702300
09/10/2025,29.4,29.4,28.85,28.95,28.95,42551700
08/10/2025,29.25,29.4,28.75,29.2,29.2,59953000
07/10/2025,29.2,29.35,29.0,29.0,29.0,41398600
06/10/2025,28.1,29.2,28.1,29.2,29.2,71269500
03/10/2025,28.1,28.1,27.35,27.65,27.65,58123500
02/10/2025,28.35,28.65,28.05,28.1,28.1,30165900
01/10/2025,28.3,28.5,28.1,28.3,28.3,29848500
30/09/2025,28.55,28.6,27.9,28.15,28.15,53737200
29/09/2025,28.55,28.9,28.4,28.6,28.6,38831200
26/09/2025,28.85,29.2,28.55,28.55,28.55,38128900
25/09/2025,29.15,29.3,28.75,28.8,28.8,34435400
24/09/2025,28.65,29.05,28.25,29.05,29.05,30738900
23/09/2025,28.55,28.85,28.45,28.65,28.65,24900000
22/09/2025,29.25,29.25,28.3,28.4,28.4,66073800
