Date,Open,High,Low,Close,AdjClose,Volume
24/11/2025,34.6,34.9,34.3,0.0,34.35,4061500
21/11/2025,34.3,34.55,34.05,34.3,34.3,18445600
20/11/2025,34.65,34.95,34.15,34.8,34.8,21063700
19/11/2025,35.4,35.45,34.35,34.65,34.65,23268600
18/11/2025,35.45,35.95,35.2,35.55,35.55,25611500
17/11/2025,35.0,35.45,34.85,35.4,35.4,15953500
14/11/2025,34.8,35.35,34.6,34.95,34.95,19630000
13/11/2025,35.55,35.55,34.8,34.95,34.95,21313000
12/11/2025,35.1,35.85,34.8,35.5,35.5,34965500
11/11/2025,34.1,34.95,33.7,34.85,34.85,30203900
10/11/2025,32.95,34.85,32.75,33.6,33.6,33031200
07/11/2025,34.15,34.2,32.85,32.95,32.95,36679200
06/11/2025,35.0,35.05,34.05,34.3,34.3,23177900
05/11/2025,34.8,35.5,34.75,34.9,34.9,30063400
04/11/2025,32.4,34.75,32.1,34.75,34.75,57837700
03/11/2025,34.3,34.55,32.5,32.5,32.5,50015100
31/10/2025,34.75,35.25,34.3,34.3,34.3,26772900
30/10/2025,35.65,35.85,34.8,34.85,34.85,28037300
29/10/2025,35.95,36.2,35.6,35.6,35.6,22897000
28/10/2025,34.7,36.0,34.7,35.85,35.85,34464100
27/10/2025,36.4,36.55,34.55,34.8,34.8,71137600
24/10/2025,37.2,37.4,35.7,36.0,36.0,82075200
23/10/2025,38.5,38.65,37.5,37.5,37.5,24279700
22/10/2025,38.8,38.8,37.2,38.45,38.45,32795900
21/10/2025,37.95,39.5,36.95,38.6,38.6,81186900
20/10/2025,40.75,41.8,37.95,37.95,37.95,70585900
17/10/2025,41.5,41.95,40.7,40.8,40.8,38969300
16/10/2025,41.7,42.25,41.15,41.35,41.35,29760800
15/10/2025,41.1,41.75,40.85,41.45,41.45,30114300
14/10/2025,42.35,43.3,41.0,41.0,41.0,65269200
13/10/2025,40.15,41.7,40.0,41.35,41.35,42263800
10/10/2025,40.9,41.5,40.6,40.7,40.7,29024800
09/10/2025,41.25,41.3,40.55,40.65,40.65,33451500
08/10/2025,41.75,42.5,40.55,41.2,41.2,53747600
07/10/2025,41.0,41.35,40.55,40.8,40.8,40540800
06/10/2025,38.5,40.25,38.45,40.25,40.25,53500100
03/10/2025,37.75,38.2,37.2,37.65,37.65,25057700
02/10/2025,38.65,38.95,37.7,37.85,37.85,21157600
01/10/2025,38.85,39.2,38.45,38.6,38.6,16967100
30/09/2025,37.6,38.8,37.3,38.55,38.55,38227200
29/09/2025,38.05,38.2,37.2,37.55,37.55,34409300
26/09/2025,38.9,38.95,38.0,38.0,38.0,38838600
25/09/2025,39.5,39.65,39.0,39.0,39.0,25997200
24/09/2025,39.5,40.25,38.55,40.25,39.25,36376800
