Date,Open,High,Low,Close,AdjClose,Volume
24/11/2025,51.5,51.5,50.6,0.0,50.7,2221900
21/11/2025,49.05,51.3,48.9,51.3,51.3,10132900
20/11/2025,49.5,49.8,49.1,49.5,49.5,5896100
19/11/2025,49.45,50.3,49.05,49.5,49.5,9515600
18/11/2025,48.9,49.65,48.5,49.5,49.5,8541600
17/11/2025,48.1,49.05,47.9,48.9,48.9,10169700
14/11/2025,48.6,48.65,47.4,48.05,48.05,14304600
13/11/2025,50.5,50.5,48.55,48.7,48.7,17041000
12/11/2025,49.7,50.6,48.85,50.6,50.6,8640000
11/11/2025,48.7,49.65,47.45,49.65,49.65,8621000
10/11/2025,48.5,49.4,48.35,48.5,48.5,8290900
07/11/2025,51.7,51.9,48.35,48.35,48.35,20318100
06/11/2025,53.5,53.8,51.9,51.9,51.9,7748900
05/11/2025,53.5,54.5,53.2,53.5,53.5,4422600
04/11/2025,52.0,54.8,51.7,53.9,53.9,11567100
03/11/2025,55.4,55.8,52.3,52.3,52.3,6619800
31/10/2025,56.7,57.2,55.5,55.5,55.5,3469600
30/10/2025,57.2,57.3,56.4,56.9,56.9,3281900
29/10/2025,56.8,58.1,56.5,57.2,57.2,5986100
28/10/2025,54.4,56.8,53.6,56.8,56.8,6598200
27/10/2025,54.5,55.3,53.5,54.6,54.6,4852600
24/10/2025,55.2,55.5,53.6,54.5,54.5,7394000
23/10/2025,55.4,55.9,54.7,55.6,55.6,5822500
22/10/2025,55.7,55.7,53.5,55.4,55.4,5680600
21/10/2025,55.5,55.6,53.0,55.6,55.6,11955700
20/10/2025,58.6,58.8,54.9,54.9,54.9,13295700
17/10/2025,59.0,59.3,58.1,59.0,59.0,6674400
16/10/2025,60.1,60.4,58.5,59.5,59.5,10235300
15/10/2025,60.2,60.8,60.0,60.0,60.0,3805800
14/10/2025,61.1,61.3,60.1,60.6,60.6,7039200
13/10/2025,59.9,61.0,59.3,61.0,61.0,7743200
10/10/2025,60.2,60.4,59.2,60.4,60.4,8202400
09/10/2025,60.3,61.0,59.7,60.0,60.0,9593000
08/10/2025,58.6,60.0,58.5,59.9,59.9,10390300
07/10/2025,60.0,60.4,58.5,58.5,58.5,7496400
06/10/2025,58.0,59.8,57.1,59.8,59.8,10349900
03/10/2025,58.6,58.6,57.0,57.0,57.0,9437900
02/10/2025,60.0,60.3,58.0,58.7,58.7,8412100
01/10/2025,57.1,59.8,56.7,59.8,59.8,18440100
30/09/2025,56.6,57.1,56.0,56.9,56.9,8892800
29/09/2025,56.5,56.6,55.4,56.6,56.6,5361700
26/09/2025,56.9,56.9,55.9,56.5,56.5,6010100
25/09/2025,57.2,57.2,56.0,56.9,56.9,6594300
24/09/2025,55.4,57.0,54.5,57.0,57.0,6866400
23/09/2025,55.2,55.7,54.5,55.4,55.4,5215300
22/09/2025,55.5,55.7,53.6,54.8,54.8,8456900
19/09/2025,57.4,57.5,55.2,55.2,55.2,14993400
18/09/2025,56.5,57.3,55.8,57.0,57.0,8193300
17/09/2025,56.3,56.6,55.5,56.2,56.2,8281600
16/09/2025,56.4,56.9,55.9,56.1,56.1,6628000
15/09/2025,55.2,56.0,54.5,56.0,56.0,8931100
12/09/2025,55.9,55.9,55.1,55.4,55.4,6397200
11/09/2025,54.2,55.7,52.6,55.4,55.4,12854900
10/09/2025,54.5,54.9,53.4,53.9,53.9,7469300
09/09/2025,53.9,54.3,53.1,54.2,54.2,6237400
08/09/2025,55.7,56.2,53.9,54.0,54.0,11396400
05/09/2025,56.9,57.1,54.8,56.0,56.0,11299600
04/09/2025,56.7,56.8,55.7,56.4,56.4,7720900
03/09/2025,56.0,56.3,55.2,56.3,56.3,7512300
29/08/2025,55.2,55.8,54.3,55.6,55.6,13870300
28/08/2025,55.9,56.2,54.4,54.8,54.8,8394200
27/08/2025,55.3,56.4,54.1,55.6,55.6,15918500
26/08/2025,52.5,55.0,52.4,55.0,55.0,12289300
25/08/2025,56.2,56.5,51.7,53.0,53.0,22715200
22/08/2025,57.4,59.1,54.6,55.5,55.5,21576300
21/08/2025,54.8,57.8,54.7,57.8,57.8,26950700
20/08/2025,53.4,54.4,51.7,54.1,54.1,25005100
19/08/2025,52.7,53.9,52.3,53.2,53.2,10619300
18/08/2025,53.9,53.9,52.2,52.8,52.8,12871600
15/08/2025,55.9,56.0,53.0,53.9,53.9,13248000
14/08/2025,54.3,56.3,53.7,55.4,55.4,16179400
13/08/2025,54.4,54.4,52.9,53.9,53.9,8805500
12/08/2025,53.6,54.8,53.0,54.0,54.0,7085300
11/08/2025,53.6,53.8,52.7,53.7,53.7,11099300
08/08/2025,54.4,54.4,52.5,54.0,54.0,15418000
07/08/2025,54.8,55.2,52.9,54.6,54.6,14247000
06/08/2025,52.6,54.1,52.2,54.1,54.1,12203200
05/08/2025,50.4,53.5,49.65,51.7,51.7,34970000
04/08/2025,48.9,50.0,48.5,50.0,50.0,10261900
01/08/2025,50.3,50.8,49.1,49.4,49.4,13980500
31/07/2025,49.9,50.7,49.25,49.95,49.95,18161500
30/07/2025,48.85,50.3,48.1,49.3,49.3,17249500
29/07/2025,49.1,50.8,48.0,48.0,48.0,24137000
28/07/2025,48.8,49.3,48.35,49.1,49.1,15097200
25/07/2025,49.45,49.5,48.8,48.8,48.8,7947800
